,Ten ,Gia ,Thong tin,Anh,The loai
228,Ác Nữ Trùng Sinh - Tập 2,"156.750 đ
				","
Ác Nữ Trùng Sinh - Tập 2
“Ác Nữ Trùng Sinh"" (tên tiếng Anh phổ biến nhất là The Villainess Lives Twice) là một trong những bộ tiểu thuyết mạng (webnovel) được yêu thích nhất tại xứ sở Kim Chi, đã được chuyển thể thành bản truyện tranh (webtoon) phát hành trên nhiều nền tảng trên khắp thế giới, bao gồm Kakaopage, Naver Korea và Ridibooks. Phiên bản webtoon của bộ truyện đã từng được đông đảo độc giả Việt Nam đón nhận trên nền tảng Comico với hơn hai triệu lượt xem. 
Giới thiệu nội dung tập 2:
Phần tiếp theo của hành trình trùng sinh để đảo ngược vận mệnh của Nữ hầu tước Artizea, một thiên tài mưu lược, người đã phò trợ anh trai cùng mẹ khác cha lên ngôi vua nhưng rồi bị phản bội ở kiếp trước. Ở tập 1, Aztizea đã đề nghị kết hôn với Đại công tước Cebric Ebron để bảo vệ và từng bước đưa anh lên ngai vàng.
Sau lễ cưới, Artizea và Cedric đến lãnh thổ lạnh giá, khắc nghiệt của Đại Công tước Ebron ở phía Bắc Đế quốc để hưởng tuần trăng mật. Thánh nữ Lysia, Hoàng hậu của Lawrence kiếp trước trở thành thị nữ của Artizea. Trong thời gian Cedric đi săn, Cadriol, Hoàng tử Vương quốc Aimel, kẻ sở hữu ký ức của kiếp trước, đã liều lĩnh thâm nhập vào thành và bắt cóc Artizea, ép cô phải đứng về phe hắn. Sau khi Cedric giải cứu Artizea, trên đường trở về, họ bất ngờ bị tấn công bởi quái vật Karam. Chiến tranh với quái vật Karam chính thức bùng nổ, Cedric lên đường tham gia cuộc chiến tại thành Told. Artizea trở về kinh đô Đế Quốc tiếp tục thực hiện những mưu tính chính trị đầy tinh vi để hỗ trợ Cedric tiến gần hơn đến ngai vàng. Cuộc chiến sinh tồn và tranh đoạt quyền lực của hai người liệu có đem lại hòa bình cho Đế quốc, hay sẽ dẫn đến những biến cố lớn hơn? Liệu còn bao nhiêu người có ký ức kiếp trước quay trở về như Cadriol? Tất cả sẽ được giải đáp trong tập 2 đầy kịch tính này. 
",https://cdn0.fahasa.com/media/catalog/product/b/_/b_a-_c-n_-tr_ng-sinh-t_p--2.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
229,Bà Ngoại Thời @ (Tái Bản 2019),"52.800 đ
				","
Không ti vi, không máy tính, không điện thoại di động. Đó là giải pháp của bố mẹ để đối phó với 1 kẻ nghiện đủ các thể lại màn hình như Sam, khi quyết định gửi nó về sống ở nhà bà ngoại tại Nice. Địa ngục là đây chứ còn đâu nữa! Nhưng địa ngục ấy không chỉ dành cho Sam, bởi bà ngoại Martha từ giờ trở đi sẽ phải sống với cuộc sống độc thân yêu thích của mình, lại suốt ngày vất vả nấu nướng, chăm sóc và kèm cặp thằng cháu ngoại 16 tuổi lộc ngộc đang độ ương bướng. Nhưng có ai học được chữ ngờ. Biết đâu chừng cuộc sống chung cưỡng ép ấy lại là cơ hội cho cả hai bà cháu  để thay đổi những thói quen của mình và nhìn thế giới dưới một góc độ khác? Nhất là khi, bà ngoại bỗng chốc  biến thành một con người không ai hình dung nổi. 
",https://cdn0.fahasa.com/media/catalog/product/i/m/image_188926.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
230,Lũ Trẻ Đường Tàu (Tái Bản 2023),"68.000 đ
				","
Lũ Trẻ Đường Tàu
Một tối, cha đi khỏi nhà cùng hai người đàn ông lạ mặt và không trở về. Mẹ lẳng lặng gói ghém đồ đạc đưa lũ trẻ về sống tại “Ba ống khói”, ngôi nhà nằm bên một nhà ga thuộc miền quê Yorkshire. Từ ngày về đây, đường tàu đã trở thành trung tâm cuộc sống ba chị em Bobbie, cuốn chúng vào những chuyến phiêu lưu mạo hiểm nhưng vô cùng kỳ thú: Cứu cả đoàn tàu thoát khỏi tai nạn trong trận lở đất, giúp ông người Nga tha hương tìm lại gia đình, cứu em bé nhà “ông sà lan” thoát khỏi đám cháy… Nhưng đằng sau những chiến tích rực rỡ vẫn là một nỗi buồn thầm lặng khôn nguôi. Bởi vì, bao giờ cha sẽ về?
Câu chuyện về ba đứa trẻ nghèo sống bên đường tàu đã cuốn độc giả vào một thế giới tinh nghịch, trong trẻo mà cảm động tha thiết, một xâu chuỗi khéo léo những tình tiết tưởng như rời xa nhau nhưng hóa ra lại đồng quy ở kết thúc đầy bất ngờ nơi cuối truyện.
Đến từ nước Anh và sau hơn một thế kỷ ra mắt, Lũ trẻ đường tàu của Edith Nesbit vẫn luôn là một tượng đài tác phẩm thiếu nhi kinh điển không thể bỏ qua, một viên ngọc đã ở lại trong ký ức nhiều thế hệ độ 
",https://cdn0.fahasa.com/media/catalog/product/3/j/3jlms5sf.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
231,Một Năm Sống Tử Tế,"117.600 đ
				","
Tử tế khi thấy đó là việc dễ dàng, thuận lợi thì phần lớn chúng ta đều có thể. Nhưng tử tế khi ta cảm thấy việc ấy thật khó khăn, thật bất tiện thì nan giải hơn. Đó là lúc sự tử tế có thể khơi ngòi cho cơn giận, thậm chí bạo lực. Nhưng đó cũng chính là khi hành động tử tế được cần đến nhất.
Bằng những câu chuyện, những quan sát, những tóm tắt nghiên cứu của các chuyên gia, cùng giọng điệu khi hóm hỉnh lúc hùng hồn và luôn hết mực chân tình, Donna Cameron đã chia sẻ những trải nghiệm và đúc kết của mình khi cam kết thực hành tử tế trong 365 ngày. Cô trình bày vô số lợi ích của sự tử tế, từ sức khỏe, của cải đến thành công trong công việc và đời sống riêng. Cô chỉ rõ một cuộc sống tử tế đòi hỏi những gì và điều gì sẽ ngáng đường nó. Cô đưa ra những gợi ý thực tế để giúp ta dễ dàng lựa chọn một lối sống tử tế hơn. Nhưng hơn hết, Một năm sống tử tế rọi ánh sáng lên cách thức để khiến thế giới ta đang sống trở nên tốt đẹp, đúng đắn và an toàn hơn. Và chính tôi, chính bạn, cũng có thể trở thành một phần của sự biến chuyển ấy.
Donna Cameron
đã chứng kiến biết bao hành động tử tế cùng sức mạnh biến chuyển của chúng khi làm việc trong môi trường nhiều quỹ từ thiện và tổ chức phi lợi nhuận. Là chủ nhân nhiều giải thưởng về sáng tác, Cameron đồng thời cũng xuất bản nhiều bài báo và là đồng tác giả của One Hill, Many Voices: Stories of Hope and Healing, một cuốn sách kể những câu chuyện đầy tính chữa lành về các bệnh nhân ung thư. Cuốn sách Một năm sống tử tế của Cameron đã đoạt nhiều giải thưởng về sách self-help và là một trong những cuốn sách hay nhất năm 2018 do tạp chí Kirkus Review bình chọn. 
",https://cdn0.fahasa.com/media/catalog/product/8/9/8935235236110.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
232,Ngôi Nhà Rô Bốt Trong Rừng Sâu,"149.250 đ
				","
Ngôi Nhà Rô Bốt Trong Rừng Sâu
Tác phẩm từ tác giả sách New York Times best-seller Ngôi nhà bên bờ biển xanh thẳm
Chiến thắng hạng mục Tiểu thuyết khoa học giả tưởng hay nhất 2023 của Goodreads
Trong một khu rừng cổ kính và hẻo lánh, tách biệt hẳn khỏi thế giới bên ngoài, Victor Lawson, một cậu bé con người sống trong một ngôi nhà kỳ lạ. Cậu được nuôi dưỡng bởi người cha rô bốt Giovanni Lawson, kiêm nhà sáng chế rô bốt thiên tài, và hai người bạn rô bốt mà cậu đã cứu từ Bãi Phế Liệu địa phương: Rambo, một máy hút bụi hay lo lắng, và Nurse Ratched, một rô bốt y tế mắc chứng rối loạn nhân cách chống đối xã hội. Cuộc sống của họ trôi qua bình yên và êm ả.
Nhưng mọi thứ thay đổi khi Vic phát hiện ra một rô bốt có dấu hiệu của sự sống ở Bãi Phế Liệu và đặt tên cho gã là Hap. Sự xuất hiện của Hap vô tình để lộ vị trí của gia đình Vic, dẫn đến việc Gio bị bắt và đưa về một phòng thí nghiệm bí mật tại Thành Phố Mộng Điện. Để cứu cha khỏi việc ngừng hoạt động hoặc nguy cơ tái lập chương trình, Vic cùng những người bạn rô bốt của cậu buộc phải tham gia vào một hành trình đầy hiểm nguy.
Trong chuyến đi đó, tình cảm giữa Vic và Hap dần nảy sinh, những bí mật đen tối về quá khứ của Gio và Hap, thân phận của Vic,… cũng dần được hé lộ. Liệu Vic có đủ sức mạnh, trí thông minh và sự tỉnh táo để đối mặt với những thử thách sắp tới và cứu được cha mình?
Lấy cảm hứng từ tác phẩm The Adventures of Pinocchio của Carlo Collodi, Ngôi nhà rô bốt trong rừng sâu sẽ khiến độc giả đắm chìm vào cuộc phiêu lưu lạ kỳ, buồn vui lẫn lộn, vượt ra ngoài phạm vi thế giới con người này. 
",https://cdn0.fahasa.com/media/catalog/product/b/_/b_a-ng_i-nh_-r_-b_t-trong-r_ng-s_u.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
233,Hoa Hồng Xứ Khác (Tái Bản 2022),"42.500 đ
				","
Hoa Hồng Xứ Khác
Trong truyện, Ngữ, Khoa và Hòa lé đều say mê cô bạn cùng lớp Gia Khanh.
Cái cô gái bị ba người cùng theo đó sẽ phải làm sao.
Ba anh chàng làm gì để “chiến thắng”.
Điều lý thú là gần như tác giả tái hiện lại thời học trò của mình với ngôn ngữ thời bây giờ nên các bạn đọc trẻ sẽ tìm thấy hình bóng của chính mình trong đó. 
",https://cdn0.fahasa.com/media/catalog/product/8/9/8934974178620.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
234,Bên Nhau Trọn Đời - Tặng Kèm Bookmark,"126.750 đ
				","
Bên Nhau Trọn Đời
“Sau này em sẽ hiểu, nếu cô ấy đã từng xuất hiện trên thế gian thì những người khác đều chỉ là tạm bợ… Anh không muốn tạm bợ.”
“Bên Nhau Trọn Đời” của tác giả Cố Mạn là câu chuyện tình yêu sâu sắc và bền bỉ giữa hai con người đã từng lạc mất nhau trong sự hiểu lầm và xa cách: Hà Dĩ Thâm – chàng luật sư lạnh lùng nhưng chung tình suốt 7 năm kiên trì chờ đợi, và Triệu Mặc Sênh – cô gái từng rời đi trong nỗi bồng bột của tuổi trẻ, mang theo cả trái tim day dứt mối tình đầu. Để rồi đến ngày tái ngộ, dù vết thương vẫn còn ở đó, nhưng họ vẫn dành hết sự bao dung và che chở cho đối phương và quyết định cùng nhau viết tiếp những ngọt ngào còn đang dang dở.
Không chỉ đơn thuần nói về tình yêu, “Bên Nhau Trọn Đời” còn mang theo thông điệp về niềm tin và hy vọng cho tất cả mọi người. Cuộc đời nào có nhiều lần 7 năm để chờ đợi mỗi một bóng hình, nhưng nếu trái tim ta đủ kiên định thì tất thảy những điều tưởng như xa vời kia đều có thể trở thành sự thật. Qua từng câu chữ, bạn có thể cảm nhận được vẻ đẹp và sự tươi trẻ đến từ tình yêu thuần khiết nhất, vừa bình dị lại vừa mạnh mẽ, khiến lòng ai không khỏi bồi hồi, khép sách lại rồi vẫn xao xuyến không nguôi.
Những người yêu nhau rồi sẽ trở về với nhau, cũng như chính tên gọi “Bên Nhau Trọn Đời” – dù có trải qua bao nhiêu năm tháng, hãy cứ dũng cảm nắm chặt lấy tình yêu đích thực thuộc về mình và không cần sợ hãi, bởi vì “chỉ cần đó là em/anh – muộn một chút cũng không sao”. 
",https://cdn0.fahasa.com/media/catalog/product/b/a/banthuong.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
235,Một Ngày Sau Cuối,"53.550 đ
				","
Một Ngày Sau Cuối
Bạn đã bao giờ đánh mất một người mình yêu thương, để rồi khao khát được ban tặng thêm một lần trò chuyện, thêm một cơ hội bù đắp cho quãng thời gian bạn đã bỏ lỡ, vì nghiễm nhiên tưởng rằng người ấy sẽ bên bạn mãi mãi? Nếu đã từng, hẳn bạn sẽ biết rằng tuy cuộc đời còn ngày rộng tháng dài, nhưng tất thảy đều không sánh bằng một ngày đã xa mà bạn hằng mong được có lại.
Sẽ ra sao nếu bạn có thể lấy lại một ngày trong dĩ vãng ấy?
Cuốn sách MỘT NGÀY SAU CUỐI là câu chuyện về một người mẹ và một người con trai, về tình mẫu tử bao la vượt qua giới hạn của một kiếp người.
MITCH ALBOM là tác giả sách, nhà báo và người dẫn chương trình phát thanh nổi tiếng, thành viên nhiều hội từ thiện. Ông sáng lập và điều hành hai tổ chức từ thiện ở nội đô Detroit (Mĩ): The Dream Fund - giúp đỡ thanh thiếu niên có hoàn cảnh khó khăn được học nghệ thuật, và A Time to Help - chương trình tình nguyện hằng tháng. Ông sống với vợ mình - bà Janine - ở Michigan, Mĩ.
TÁC PHẨM NỔI BẬT:
• Những ngày thứ Ba với thầy Morrie
• Năm người bạn gặp trên thiên đường
• Giữ chút niềm tin
• Cuộc gọi đầu tiên từ thiên đường
• Những sợi dây đàn kì diệu của Frankie Presto
• Chika yêu dấu 
",https://cdn0.fahasa.com/media/catalog/product/8/9/8935244874280.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
236,Trường Tương Tư - Tập 1 - Tình Nhớ,"183.200 đ
				","
Trường Tương Tư - Tập 1 - Tình Nhớ
Giới thiệu:
Sau khi lang thang suốt bao thế kỷ, nàng công chúa thất lạc nọ giờ sống dưới thân phận một y sư bình thường. Nhưng rồi một loạt cuộc gặp định mệnh thay đổi mọi chuyện.
Chàng là gió thoảng mặt hồ,
Thiếp là sen nở bên bờ, gió lay.
Gặp nhau tuy chỉ thoáng mây,
Nhưng lòng thương mến kiếp này đã trao.
Chàng là mây trắng trên cao,
Thiếp là trăng tỏ nép vào mây kia.
Yêu nhau thề chẳng xa lìa,
Sắt son gắn bó, sẻ chia ngọt bùi.
Chàng là cây lớn ngất trời,
Dây leo là thiếp, trọn đời quấn quanh.
Sánh đôi như lá với cành,
Tựa nương như thể môi răng cận kề.
Nhân gian vui lắm, buồn ghê,
Đời người tan hợp, chốn về nơi đâu?
Nguyện cùng chàng mãi bên nhau,
Không rời xa, mãi bên nhau, không rời...
Đôi nét tác giả
ĐỒNG HOA
Sinh ngày: 18/10/1982
Bút sanh dùng trên mạng: Trương Tiểu Tam
Cô sinh ở Tây Bắc, hiện đang định cư ở Mỹ.
Tốt nghiệp tại đại học Bắc Kinh.
Đồng Hoa là một trong bốn tiểu thiên hậu trên văn đàn Trung Quốc.
Tác phẩm tiêu biểu: Trường tương tư, Bộ bộ kinh tâm, Vân Trung ca, Từng thề ước... 
",https://cdn0.fahasa.com/media/catalog/product/b/i/bia-1_tttu_tap-1_mem_cung-ao.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
237,Bộ Sách Địa Mộ  - Tập 1 + Tập 2 (Bộ 2 Tập) - Bản Đặc Biệt - Tặng Kèm Bookmark + Móc Khóa + Postcard Có Chữ Kí Tác Giả,"341.100 đ
				","
Bộ Sách Địa Mộ - Tập 1 + Tập 2 (Bộ 2 Tập)
“Địa Mộ” – mời bạn đọc tiếp tục theo chân thầy Lương trong cuộc hành trình mới sau “QUỶ ẤN”!
Thầy Lương - một thầy pháp (còn gọi là thầy Tàu) nổi tiếng với khả năng trừ tà, hóa giải bùa chú và giải quyết những hiện tượng tâm linh kỳ bí. Ông mang trong mình nhiều món “nghiệp” từ quá khứ, buộc phải chu du khắp nơi để “trả nghiệp”, giải quyết những oán hồn và bí ẩn tâm linh.
Ở tập truyện “Quỷ ấn”, bằng sự am hiểu sâu sắc về bùa chú và ngải độc, thầy Lương đã cùng người dân làng Xím Bạc hóa giải bùa ngải mà tên mo Chốc - một “con quỷ đội lốt người” giết chóc không gớm tay gây ra.
“Địa mộ” là hành trình tiếp nối câu chuyện về thầy Lương từ “Qủy ấn”. Sau khi rời làng Xím Bạc, ông vô tình đặt chân đến làng Trúc thanh bình và yên ả. Tại đây, ông hành nghề bốc thuốc cứu người, được người dân trong làng hết mực tin tưởng và quý mến. Nhưng yên bình chẳng được bao lâu, Tứ Địa - nơi được mệnh danh là ""vùng đất của thần linh"" được người dân làng Trúc bảo vệ bằng cả tính mạng - bị lăm le chiếm lấy với mục đích đẩy cả làng đến bờ vực hủy diệt.
Trước tình cảnh ấy, thầy Lương không thể khoanh tay đứng nhìn. Dấn thân vào Tứ Địa trùng trùng nguy hiểm, thầy Lương sẽ làm gì để cứu lấy những người dân làng Trúc thiện lương và đất thiêng đang chết dần? Địa mộ - nơi đáng ra phải bị lãng quên, đến cùng đang che giấu bí mật gì? Tứ Địa liệu có khôi phục lại được như xưa, hay thật sự sẽ trở thành Tử Địa như giấc mộng của người cai quản vùng đất này?
Hãy lật giở từng trang để khám phá từng lớp bí mật rùng rợn, ly kỳ và tâm linh mang tên ĐỊA MỘ. 
",https://cdn0.fahasa.com/media/catalog/product/6/1/612ae7b8-1eb6-4228-aa8f-a8af85bf28c4-3.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
238,Thời Thơ Ấu Dài Lâu - Nguyễn Nhật Ánh - Boxset 24 Cuốn - Phiên Bản Vàng Ấm Áp,"798.000 đ
				","
Thời Thơ Ấu Dài Lâu - Nguyễn Nhật Ánh - Boxset 24 Cuốn - Phiên Bản Vàng Ấm Áp
Boxset 24 cuốn - Thời thơ ấu dài lâu sẽ là quà tặng xứng đáng dành cho các bạn đọc yêu quý với phiên bản:
Phiên bản vàng ấm áp, thần thánh của 10 năm trước, nhưng lần trở lại này là khổ sách bỏ túi dễ thương 10x14.5cm. Khổ xinh xắn nhưng thiết kế chữ công phu đủ để bạn đọc thưởng thức trọn vẹn độ hấp dẫn câu chuyện của tác phẩm.
Ở mặt ngoài boxset của 2 phiên bản có tranh minh hoạ của hoạ sĩ Đỗ Hoàng Tường; bài thơ vui của nhà nghiên cứu phê bình văn học nổi tiếng Phạm Xuân Nguyên làm từ 24 tựa của bộ sách này.
Boxset 24 cuốn - Thời thơ ấu dài lâu bao gồm 24 tựa sách:
1. Bàn có năm chỗ ngồi
2. Bồ câu không đưa thư
3. Bong bóng lên trời
4. Buổi chiều windows
5. Chú bé rắc rối
6. Chuyện cổ tích dành cho người lớn
7. Cô gái đến từ hôm qua
8. Còn chút gì để nhớ
9. Đi qua hoa cúc
10. Hạ đỏ
11. Hoa hồng xứ khác
12. Mắt biếc
13. Ngôi trường mọi khi
14.Những chàng trai xấu tính
15. Những cô em gái
16. Nữ sinh
17. Phòng trọ 3 người
18. Quán gò đi lên
19. Thằng quỷ nhỏ
20. Thiên thần nhỏ của tôi
21. Trại hoa vàng
22. Trước vòng chung kết
23. Út Quyên và tôi
24. Bảy bước tới mùa hè1. Thời Thơ Ấu Dài Lâu - Nguyễn Nhật Ánh - Boxset 24 Cuốn - Phiên Bản Vàng Ấm Áp2. Phí Bảo Quản Hàng Hoá 6.000đ 
",https://cdn0.fahasa.com/media/catalog/product/8/9/8934974178866_1.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
239,Những Ngã Tư Và Những Cột Đèn,"160.000 đ
				","
Những Ngã Tư Và Những Cột Đèn
Tôi qua ngã tư Cửa Nam. Ngã tư Cửa Nam đầy khói. Để không thể đếm bao nhiêu nốt chân trên ngã tư.
Ai đếm bao nhiêu nốt chân khôn dại. Bao nhiêu nốt chân vui buồn? Ai đếm những ngã tư đời láo nháo nốt chân. Láo nháo cột đèn láo nháo đèn? Đời tôi đã rẽ rồi. Như đã hạ nước cờ không sao đi lại được. Nhưng tại sao tôi cứ ám ảnh: cái ngã tư tại sao ấy. Tôi quên không được. Đi đi không được. Tôi ngồi bệt lề đường.
Tôi là đàn ông: tôi không đau khổ. Nhưng tôi muốn khóc. Tôi là đàn ông: Tôi không khóc. Nhưng tôi đau khổ lắm. Tôi ngồi bệt mà nhìn láo nháo cột đèn. Láo nháo khói. Láo nháo hàng cây bên đường lá rụng. Tôi nghe gà gáy te te nội thành. Chỗ tôi ngồi không xa có vườn hoa Canh Nông.
Tôi lảo đảo dậy: tôi đi tìm vườn hoa Canh Nông. Tôi vào vườn hoa. Tôi ngồi ghế đá. Ghế đá lạnh. Gà gáy te te. Phố bắt đầu mất khói. Vườn hoa cũng bắt đầu hết khói. Là rạng đông rồi.
Tôi không mệt. Buồn ngủ cũng không. Tôi đã nói rồi: tôi đi thấu sáng. Bây giờ tôi ngồi. Cùng với rạng đông. Trong một vườn hoa. 
",https://cdn0.fahasa.com/media/catalog/product/8/9/8935235234185.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
240,"Đường Đời Muôn Ngả, Gặp Gỡ Đã Là Nhân Duyên - Bản Đặc Biệt - Tặng Kèm Bookmark + Postcard + Chữ Ký Tác Giả Ngẫu Nhiên","116.000 đ
				","
Đường Đời Muôn Ngả, Gặp Gỡ Đã Là Nhân Duyên
""Đường đời muôn ngả, gặp gỡ đã là nhân duyên"" – Hành trình tìm kiếm và kết nối những tâm hồn bình dị.
Cuộc sống hiện đại hối hả đã vô tình kéo con người ta ra khỏi sự chú tâm vào những mối kết nối sâu sắc và những cuộc gặp gỡ tình cờ nhưng thú vị. Đã bao giờ bạn dừng lại giữa dòng chảy vội vã của cuộc sống và tự hỏi về những con người đã bước qua đời mình, hay những ngã rẽ bạn đã chọn chưa?
Có lẽ, mỗi cuộc gặp gỡ đều không phải ngẫu nhiên như bạn vốn tưởng, mà thực chất lại ẩn chứa vô vàn mảnh ghép quan trọng tạo nên bức tranh cuộc đời đầy ý nghĩa.
""Đường đời muôn ngả, gặp gỡ đã là nhân duyên"" chính là một tác phẩm chứa đựng những thông điệp sâu sắc như thế, cuốn tiểu thuyết dẫn dắt người đọc qua những cuộc gặp gỡ bất ngờ, để từ đó khám phá sự diệu kỳ trong mỗi mối nhân duyên.
Cuốn sách là tập hợp của mười câu chuyện, mỗi câu chuyện mang đến cho người đọc một góc nhìn khác nhau về cuộc sống, về những mối nhân duyên kỳ diệu. Dưới ngòi bút của nam thần vạn bản Lư Tư Hạo, những câu chuyện tưởng chừng như bình thường lại trở nên sâu sắc, lắng đọng trong lòng người đọc bởi sự chân thực và gần gũi. Nhân vật trong sách không chỉ là những người xa lạ mà dường như họ chính là người bạn, người thân, hoặc chính bản thân chúng ta trong vô vàn khoảnh khắc khác nhau của cuộc đời.
Một trong những cuộc gặp gỡ đặc biệt mà Lư Tư Hạo kể đến trong cuốn sách này là về ông cụ mở hiệu sách ở một thị trấn nhỏ, nơi mà mỗi cuốn sách trở thành cầu nối giữa những tâm hồn. Ông cụ không chỉ bán sách mà còn giới thiệu, chia sẻ về giá trị của từng cuốn sách, và thông qua những trang sách ấy, ông giúp người khác tìm thấy niềm tin, hy vọng giữa cuộc sống đầy biến động. Câu chuyện về hiệu sách cũ, về lòng yêu sách và sự kết nối giữa các thế hệ khiến người đọc không khỏi xúc động.
Lư Tư Hạo đã viết cuốn sách này với tất cả sự chân thành, anh không chỉ đơn thuần kể những câu chuyện mà dường như còn đang mở lòng, chia sẻ trải nghiệm, cảm xúc mà chính anh đã đi qua trong hành trình của mình. Mỗi câu chuyện trong cuốn sách đều là một mảnh ghép quan trọng, khiến người đọc nhận ra rằng dù cuộc sống có bao nhiêu khó khăn, những cuộc gặp gỡ, những mối nhân duyên luôn mang đến cho chúng ta một sức mạnh đặc biệt để tiếp tục tiến về phía trước.
""Đường đời muôn ngả, gặp gỡ đã là nhân duyên"" không chỉ là một cuốn tiểu thuyết thể hiện ngòi bút chuyên nghiệp và sự tận tâm của Lư Tư Hạo, mà còn là một cuốn sách chứa đựng nhiều suy ngẫm và bài học quý giá.
Với những ai đang tìm kiếm ý nghĩa trong cuộc sống, đang cần một chút động lực để bước tiếp trên con đường đầy chông gai, thì việc “gặp gỡ” cuốn sách này chắc chắn sẽ giúp bạn có thêm một người bạn đồng hành đáng tin cậy! 
",https://cdn0.fahasa.com/media/catalog/product/c/b/cbb---_ng-_i.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
241,Nàng Mona Lisa Cuối Cùng - Tặng Kèm Bookmark Bo Góc,"126.750 đ
				","
Nàng Mona Lisa Cuối Cùng
Hành trình khám phá những bí mật của vụ trộm lớn nhất lịch sử hội họa năm 1911 và mặt trái đầy đen tối của giới nghệ thuật ngày nay.
QUÁ KHỨ VÀ HIỆN TẠI XUNG ĐỘT TRONG CÂU CHUYỆN VỀ TRỘM CẮP NGHỆ THUẬT, GIẢ MẠO VÀ GIẾT NGƯỜI.
Nàng Mona Lisa cuối cùng là câu chuyện hồi hộp đến thót tim, nhưng cũng đầy lãng mạn và gợi cảm, đáng sợ và ly kỳ. Nó khai thác niềm đam mê phổ quát của chúng ta với Leonardo da Vinci, với “đồ authentic” và “đồ fake”, với những người luôn khao khát sở hữu các tác phẩm nghệ thuật vô giá, không từ thủ đoạn để có được chúng, kể cả giết người!
Về tác giả: Jonathan Santlofer là một họa sĩ và nhà văn người Mỹ. Ông từng giành được Giải thưởng Nero cho Tiểu thuyết Tội phạm hay nhất năm 2009. Ở cương vị họa sĩ, ông có nhiều tác phẩm được trưng bày rộng rãi tại Mỹ, châu Âu và châu Á, như Bảo tàng Nghệ thuật Metropolitan, Viện Nghệ thuật Chicago, Bảo tàng Newark và Bảo tàng Nghệ thuật Đương đại Tokyo. 
",https://cdn0.fahasa.com/media/catalog/product/m/o/mockup-b_n-th_ng_2.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
242,Những Chàng Trai Xấu Tính (Tái Bản 2022),"72.250 đ
				","
Những Chàng Trai Xấu Tính (Tái Bản 2022)
Ở hồ bơi công cộng trong những ngày hè nóng nực, câu chuyện kề về cuộc gặp gỡ và tình cảm gian nan nhưng không kém phần tinh nghịch với một cô gái đẹp như “nữ minh tinh Hollywood” của hai cậu bạn thân tên Biền và Tưởng. Mỗi ngày hai cậu bạn đều rủ nhau đi bơi và đã trót “phải lòng” cô gái ấy, nhưng có một điều khiến cả hai chàng trai không ít lần hoang mang và khó hiểu là sự thay đổi “như thời tiết” xảy ra mỗi ngày trong tính cách của “nữ minh tinh”, cùng với đó là tình cảm của cô nàng với họ cũng thay đổi đến chóng mặt, khiến họ theo không kịp và nhiều lúc xảy ra xích mích. Biền và Tường làm đủ mọi cách, bày đủ trò tinh quái để tìm hiểu nguyên nhân về cô nàng kỳ lạ này. 
",https://cdn0.fahasa.com/media/catalog/product/8/9/8934974177319.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
243,Đời Thừa - Danh Tác Văn Học Việt Nam,"52.500 đ
				","
Trong mảng sáng tác về đề tài tiểu tư sản của Nam Cao, truyện ngắn ""Đời Thừa"" có một vị trí đặc biệt. ""Đời Thừa"" đã ghi lại chân thật hình ảnh buồn thảm của người tri thức tiểu tư sản nghèo, nhà văn Nam Cao đã phác hoạ rõ nét hình ảnh vừa bi vừa hài của lớp người này trở nên đầy ám ảnh. Giá trị của ""Đời Thừa"" không phải chỉ ở chỗ đã miêu tả chân thật cuộc sống nghèo khổ, bế tắc của người trí thức tiểu tư sản nghèo, đã viết về người tiểu tư sản không phải với ngòi bút vuốt ve, thi vị hoá, mà còn vạch ra cả những thói xấu của họ v.v.... 
",https://cdn0.fahasa.com/media/catalog/product/8/9/8935236425834.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
